Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
service trial holes, open excavation falls into excavation, deep excavation signs to be displayed
service trial holes, collapse of excavation, excavation depth should not exceed 1m
engineering and surveying duties, manholes hidden by vegetation,do not leave an uncovered manhole unattended (2 workers present should a manhole need uncovering) segregate work area with barriers
pressure testing 300mm raw water road crossing mains, pressurising pipeline, operatives to consider removing themselves from any possible danger should a failure occur i
gas check area entry, manual handling,to minimise the need for manual handling palletised materials shall be procured
 site set-up, contamination of ground / water supply effluent,containment bund to be built around emptying point and inlet on effluent tank to contain spillage if any during the emptying process and general use
pipework installation and grading work, weather conditions,regular assessment of ground conditions during and after heavy storms
digging trial holes, overhead/buried services, size type and depth to be recorded on site drawing for future reference and as-built drawings cable location device checked and calibrated with trained operatives to use the equipment hand digging will be done to locate services before machines can work
digging trial holes, manual handling small plant and materials,all operatives must be trained in manual handling operatives must be fit to carry out the tasks if two-man lifting is being used match the operatives for size and abilities to do the task
digging trial holes," slips, trips and falls",good housekeeping to be maintained at all time rutted and uneven surfaces are to be levelled out and compacted all tools and materials to be kept tidy
digging trial holes, plant movement,operatives to stay well clear of plant at all times if possible operator to keep mirrors and windows clean to aid visibility
